,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,deck,num,side,Group,Surname
0,0.6597990639551098,0,0.4667912678743399,0.421329935748646,0,0,0,0,0,0,0,0.7289405931015163,0.42335638929644376,0.44987848959560206,0.5036330608537694,0.5036330608537694
1,0.4257088962884367,0,0.4667912678743399,0.44337356664396005,0,1,1,1,1,1,1,0.4354406098749901,0.42335638929644376,0.5560381449673801,0.5036330608537694,0.8759082652134423
2,0.6597990639551098,0,0.4667912678743399,0.4306564739126047,1,1,1,0,1,1,0,0.4879982358694893,0.42335638929644376,0.5560381449673801,0.16787768695125646,0.5839388434756282
3,0.6597990639551098,0,0.4667912678743399,0.44567850044096935,0,0,1,1,1,1,0,0.4879982358694893,0.42335638929644376,0.5560381449673801,0.16787768695125646,0.5839388434756282
4,0.4257088962884367,0,0.4667912678743399,0.5667012672462264,0,1,1,1,1,1,1,0.4354406098749901,0.7310486969887514,0.5560381449673801,0.5036330608537694,0.5839388434756282
5,0.4257088962884367,0,0.505614796571881,0.5112767759646492,0,0,1,0,1,0,1,0.4354406098749901,0.42335638929644376,0.44987848959560206,0.5036330608537694,0.5007266121707539
6,0.4257088962884367,0,0.4667912678743399,0.507160157432637,0,1,1,1,0,0,1,0.4354406098749901,0.43795413260672117,0.5560381449673801,0.5036330608537694,0.2506055101422949
8,0.4257088962884367,0,0.4667912678743399,0.49635024309451303,0,0,1,1,1,0,1,0.4354406098749901,0.700242204056918,0.5560381449673801,0.5036330608537694,0.41727217680896156
9,0.6597990639551098,1,0.6225167848443564,0.5348142005291633,0,0,0,0,0,0,1,0.7289405931015163,0.7310486969887514,0.44987848959560206,0.8345443536179231,0.8345443536179231
11,0.6597990639551098,0,0.6225167848443564,0.4589538775459421,0,1,1,1,1,1,1,0.7289405931015163,0.7310486969887514,0.44987848959560206,0.8345443536179231,0.8345443536179231
12,0.515719030015244,0,0.4667912678743399,0.4281477066303361,0,1,0,1,0,1,1,0.4354406098749901,0.7310486969887514,0.44987848959560206,0.5036330608537694,0.5007266121707539
13,0.4257088962884367,0,0.4667912678743399,0.550909034929725,0,1,1,1,0,1,0,0.5210251433945562,0.7310486969887514,0.5560381449673801,0.5036330608537694,0.30072661217075386
14,0.4257088962884367,0,0.4667912678743399,0.5898234614604552,0,1,1,1,1,1,1,0.4354406098749901,0.43795413260672117,0.44987848959560206,0.5036330608537694,0.8759082652134423
17,0.4257088962884367,0,0.6225167848443564,0.44337356664396005,0,0,1,0,0,1,0,0.4354406098749901,0.30072661217075386,0.44987848959560206,0.5036330608537694,0.08393884347562823
18,0.515719030015244,1,0.4667912678743399,0.4589538775459421,0,0,0,0,0,0,1,0.4354406098749901,0.6253027550711474,0.44987848959560206,0.5036330608537694,0.37590826521344234
19,0.4257088962884367,0,0.4667912678743399,0.8262669011408069,0,0,0,0,0,0,1,0.5210251433945562,0.42335638929644376,0.44987848959560206,0.5012110202845897,0.35766186583625276
20,0.4257088962884367,0,0.6225167848443564,0.5348142005291633,0,1,0,1,0,1,0,0.4354406098749901,0.3503633060853769,0.44987848959560206,0.5012110202845897,0.35766186583625276
21,0.4257088962884367,1,0.4667912678743399,0.7546115101973413,0,0,0,0,0,0,0,0.35892344014744704,0.42335638929644376,0.5560381449673801,0.30072661217075386,0.08393884347562823
22,0.4257088962884367,1,0.6225167848443564,0.4097726814007468,0,0,0,0,0,0,0,0.35892344014744704,0.42335638929644376,0.5560381449673801,0.30072661217075386,0.08393884347562823
24,0.4257088962884367,0,0.4667912678743399,0.6614075180920571,0,0,0,0,0,0,1,0.35892344014744704,0.42335638929644376,0.5560381449673801,0.30072661217075386,0.5036330608537694
26,0.4257088962884367,0,0.4667912678743399,0.597649586850092,0,0,0,0,0,0,0,0.35892344014744704,0.42335638929644376,0.5560381449673801,0.30072661217075386,0.41727217680896156
29,0.4257088962884367,0,0.4667912678743399,0.5992035790153204,0,0,1,0,1,0,0,0.4354406098749901,0.3503633060853769,0.5560381449673801,0.5036330608537694,0.12590826521344234
30,0.6597990639551098,0,0.6225167848443564,0.5043416643177049,0,1,1,0,1,1,0,0.6794279473824043,0.42335638929644376,0.44987848959560206,0.5036330608537694,0.5036330608537694
31,0.515719030015244,0,0.4667912678743399,0.5260795110505602,0,1,0,1,1,0,0,0.4354406098749901,0.4094211873503426,0.44987848959560206,0.5036330608537694,0.12590826521344234
32,0.4257088962884367,0,0.4667912678743399,0.4281477066303361,0,0,1,1,1,1,0,0.5210251433945562,0.30072661217075386,0.5560381449673801,0.5036330608537694,0.6259082652134423
33,0.515719030015244,0,0.4667912678743399,0.5221122508949084,0,1,0,1,0,1,1,0.4354406098749901,0.5503633060853769,0.44987848959560206,0.8345443536179231,0.8759082652134423
34,0.515719030015244,0,0.4667912678743399,0.6875648760866745,0,0,0,0,0,0,1,0.4354406098749901,0.5503633060853769,0.44987848959560206,0.8345443536179231,0.8759082652134423
36,0.6597990639551098,1,0.6225167848443564,0.5898234614604552,0,0,0,0,0,0,1,0.42267635482894333,0.7310486969887514,0.5560381449673801,0.5036330608537694,0.5036330608537694
37,0.515719030015244,0,0.6225167848443564,0.4493254979762847,0,1,1,0,1,0,0,0.42267635482894333,0.7310486969887514,0.44987848959560206,0.5036330608537694,0.2506055101422949
39,0.4257088962884367,0,0.6225167848443564,0.4636098692274455,0,1,1,0,1,0,0,0.4354406098749901,0.5003302782594335,0.5560381449673801,0.5036330608537694,0.2506055101422949
41,0.4257088962884367,1,0.4667912678743399,0.5769541287252459,0,0,0,0,0,0,1,0.5210251433945562,0.43795413260672117,0.44987848959560206,0.5036330608537694,0.8639666418957972
42,0.6597990639551098,0,0.4667912678743399,0.4589538775459421,0,0,1,1,1,1,0,0.7289405931015163,0.700242204056918,0.44987848959560206,0.5036330608537694,0.16787768695125646
43,0.4257088962884367,1,0.4667912678743399,0.5083938843475628,0,0,0,0,0,0,0,0.5210251433945562,0.700242204056918,0.44987848959560206,0.6259082652134423,0.5007266121707539
44,0.4257088962884367,1,0.6225167848443564,0.6983385010492029,0,0,0,0,0,0,1,0.5210251433945562,0.700242204056918,0.44987848959560206,0.6259082652134423,0.5007266121707539
45,0.4257088962884367,1,0.505614796571881,0.46273523272304284,0,0,0,0,0,0,1,0.5210251433945562,0.700242204056918,0.44987848959560206,0.6259082652134423,0.5007266121707539
46,0.515719030015244,0,0.4667912678743399,0.46273523272304284,0,1,0,1,0,1,0,0.4354406098749901,0.5003302782594335,0.44987848959560206,0.5036330608537694,0.6259082652134423
49,0.4257088962884367,0,0.4667912678743399,0.41675316811556595,0,0,1,0,1,1,0,0.35892344014744704,0.43795413260672117,0.5560381449673801,0.5036330608537694,0.30072661217075386
51,0.4257088962884367,0,0.4667912678743399,0.470461246605191,0,0,0,1,0,1,1,0.4354406098749901,0.6541256200656745,0.5560381449673801,0.5036330608537694,0.30072661217075386
52,0.6597990639551098,0,0.4667912678743399,0.6875648760866745,0,0,0,0,0,0,1,0.4879982358694893,0.7310486969887514,0.5560381449673801,0.8759082652134423,0.9290904372648241
53,0.6597990639551098,1,0.4667912678743399,0.3992808437377147,0,0,0,0,0,0,1,0.4879982358694893,0.7310486969887514,0.5560381449673801,0.8759082652134423,0.9290904372648241
54,0.6597990639551098,0,0.4667912678743399,0.4725181653042689,0,1,1,1,1,1,1,0.4879982358694893,0.7310486969887514,0.5560381449673801,0.8759082652134423,0.9290904372648241
55,0.4257088962884367,1,0.505614796571881,0.46644502284219236,0,0,0,0,0,0,0,0.5210251433945562,0.5629541326067211,0.5560381449673801,0.5036330608537694,0.12590826521344234
56,0.4257088962884367,0,0.4667912678743399,0.44895163004618627,0,1,1,1,1,1,0,0.4354406098749901,0.5007266121707539,0.5560381449673801,0.5036330608537694,0.12590826521344234
57,0.4257088962884367,0,0.4667912678743399,0.47743786640244407,0,0,1,0,1,1,0,0.4354406098749901,0.16690887072358462,0.5560381449673801,0.5036330608537694,0.37590826521344234
60,0.4257088962884367,0,0.4667912678743399,0.47743786640244407,0,1,1,1,0,1,0,0.5210251433945562,0.3503633060853769,0.44987848959560206,0.5036330608537694,0.37590826521344234
61,0.4257088962884367,1,0.505614796571881,0.8262669011408069,0,0,0,0,0,0,1,0.5210251433945562,0.5003302782594335,0.5560381449673801,0.6259082652134423,0.41727217680896156
62,0.4257088962884367,0,0.4667912678743399,0.48634231664396005,0,1,1,1,0,0,1,0.5210251433945562,0.5003302782594335,0.5560381449673801,0.6259082652134423,0.41727217680896156
63,0.4257088962884367,0,0.6225167848443564,0.46273523272304284,0,1,1,0,0,1,0,0.4354406098749901,0.6115147845393076,0.5560381449673801,0.6259082652134423,0.41727217680896156
66,0.4257088962884367,0,0.4667912678743399,0.4712550135436008,0,1,0,1,1,1,0,0.4354406098749901,0.16690887072358462,0.44987848959560206,0.5036330608537694,0.35766186583625276
67,0.4257088962884367,0,0.4667912678743399,0.5769541287252459,0,1,1,0,0,1,0,0.4354406098749901,0.6788309329181264,0.44987848959560206,0.5036330608537694,0.37590826521344234
68,0.4257088962884367,0,0.4667912678743399,0.5348142005291633,0,0,1,0,0,1,0,0.4354406098749901,0.18795413260672117,0.5560381449673801,0.5036330608537694,0.08393884347562823
69,0.515719030015244,0,0.505614796571881,0.44485264179899153,0,1,1,1,0,1,0,0.42267635482894333,0.700242204056918,0.44987848959560206,0.5036330608537694,0.35766186583625276
70,0.6597990639551098,0,0.4667912678743399,0.42236536952285214,0,1,1,0,0,1,1,0.6794279473824043,0.700242204056918,0.5560381449673801,0.5036330608537694,0.7007266121707538
71,0.515719030015244,0,0.4667912678743399,0.4725181653042689,0,1,0,1,0,0,1,0.4354406098749901,0.5939770663033606,0.5560381449673801,0.5036330608537694,0.5839388434756282
72,0.515719030015244,0,0.4667912678743399,0.5898234614604552,0,1,0,1,0,0,1,0.4354406098749901,0.6115147845393076,0.44987848959560206,0.5036330608537694,0.5036330608537694
73,0.6597990639551098,0,0.4667912678743399,0.3992808437377147,0,0,1,0,1,1,0,0.6794279473824043,0.30072661217075386,0.5560381449673801,0.5036330608537694,0.16787768695125646
74,0.4257088962884367,1,0.4667912678743399,0.5183819546867319,0,0,0,0,0,0,0,0.5210251433945562,0.16690887072358462,0.5560381449673801,0.5036330608537694,0.4503633060853769
75,0.515719030015244,0,0.4667912678743399,0.42236536952285214,0,1,0,0,0,0,0,0.4354406098749901,0.7310486969887514,0.44987848959560206,0.5012110202845897,0.37590826521344234
76,0.515719030015244,1,0.4667912678743399,0.6875648760866745,0,0,0,0,0,0,1,0.4354406098749901,0.7310486969887514,0.44987848959560206,0.5012110202845897,0.37590826521344234
78,0.4257088962884367,0,0.4667912678743399,0.44337356664396005,0,1,0,0,0,1,1,0.5210251433945562,0.6788309329181264,0.5560381449673801,0.5036330608537694,0.7007266121707538
79,0.6597990639551098,1,0.4667912678743399,0.579825883626104,0,0,0,0,0,0,1,0.6794279473824043,0.6253027550711474,0.5560381449673801,0.5036330608537694,0.5036330608537694
80,0.4257088962884367,0,0.4667912678743399,0.5260795110505602,0,1,0,0,1,1,0,0.4354406098749901,0.18795413260672117,0.44987848959560206,0.5036330608537694,0.37590826521344234
81,0.515719030015244,1,0.505614796571881,0.4589538775459421,0,0,0,0,0,0,1,0.35892344014744704,0.6253027550711474,0.5560381449673801,0.5036330608537694,0.5036330608537694
82,0.4257088962884367,1,0.4667912678743399,0.49635024309451303,0,0,0,0,0,0,1,0.5210251433945562,0.6115147845393076,0.5560381449673801,0.5036330608537694,0.5503633060853769
84,0.4257088962884367,0,0.4667912678743399,0.4725181653042689,0,1,1,1,1,0,0,0.4354406098749901,0.3753027550711474,0.5560381449673801,0.5036330608537694,0.5912393691685245
85,0.4257088962884367,0,0.4667912678743399,0.4712550135436008,0,0,0,1,1,1,0,0.5210251433945562,0.5503633060853769,0.44987848959560206,0.5012110202845897,0.30072661217075386
87,0.4257088962884367,1,0.4667912678743399,0.7698989374738694,0,0,0,0,0,0,1,0.5210251433945562,0.5503633060853769,0.44987848959560206,0.5012110202845897,0.5839388434756282
88,0.6597990639551098,0,0.4667912678743399,0.4412477070755641,0,0,1,0,1,1,0,0.4879982358694893,0.43795413260672117,0.5560381449673801,0.5036330608537694,0.6259082652134423
89,0.4257088962884367,0,0.4667912678743399,0.507160157432637,0,0,1,1,1,0,0,0.5210251433945562,0.6541256200656745,0.44987848959560206,0.5012110202845897,0.5007266121707539
90,0.4257088962884367,0,0.4667912678743399,0.507160157432637,0,0,1,1,0,1,1,0.5210251433945562,0.6541256200656745,0.44987848959560206,0.5012110202845897,0.5007266121707539
91,0.4257088962884367,0,0.505614796571881,0.4493254979762847,0,1,1,1,1,0,0,0.4354406098749901,0.6335755373902513,0.44987848959560206,0.5036330608537694,0.5012110202845897
94,0.4257088962884367,0,0.4667912678743399,0.48634231664396005,0,0,0,0,1,1,0,0.4354406098749901,0.4335755373902513,0.5560381449673801,0.5036330608537694,0.12590826521344234
96,0.4257088962884367,1,0.6225167848443564,0.6030480312015815,0,0,0,0,0,0,1,0.5210251433945562,0.5939770663033606,0.5560381449673801,0.5012110202845897,0.5839388434756282
97,0.4257088962884367,1,0.4667912678743399,0.5782385331516803,0,0,0,0,0,0,0,0.5210251433945562,0.5939770663033606,0.5560381449673801,0.5012110202845897,0.5839388434756282
99,0.515719030015244,0,0.4667912678743399,0.46273523272304284,0,1,1,1,0,0,0,0.42267635482894333,0.43795413260672117,0.5560381449673801,0.5036330608537694,0.5012110202845897
